num_actions_to_eval_in_a_row,reward,time
3,261.59,94.71
3,124.89,97.36
3,-82.32,26.79
3,253.73,98.53
3,257.69,96.31
3,258.04,94.54
3,260.40,93.36
3,57.52,72.18
3,260.47,93.08
3,-115.21,8.96
3,259.72,93.14
3,118.70,89.94
3,260.31,98.43
3,262.22,92.80
3,113.85,86.78
3,58.63,62.71
3,260.14,90.74
3,258.75,92.83
3,263.82,88.04
3,260.31,91.56
2,-78.23,43.22
2,-116.34,8.27
2,259.33,140.51
2,254.95,146.43
2,264.96,132.48
2,260.16,139.09
2,259.54,140.72
2,258.23,673.92
2,256.73,142.20
2,260.22,145.85
2,253.20,154.32
2,263.35,138.11
2,261.08,143.51
2,253.74,181.21
2,262.63,190.01 
2,268.81,199.72
2,249.78,226.67
2,258.07,207.82
2,265.98,187.87
2,264.78,200.20
1,261.67,389.87
1,262.13,406.31
1,252.43,450.14
1,9.67,222.31
1,257.81,428.17
1,262.07,412.52
1,254.60,424.50
1,262.63,399.13
1,257.20,418.96
1,263.86,421.34
1,-122.71,17.50
1,251.67,443.24
1,258.74,404.86
1,257.26,402.56
1,259.01,427.71
1,261.19,283.41
1,258.78,300.99
1,261.39,282.37
1,256.81,291.48
1,262.55,273.37